국가(IOC 코드),하계 참가 횟수,1,2,3,계,동계 참가 횟수,1,2,3,계,전체 참가 횟수,1,2,3,총합
가나 (GHA),14,0,1,3,4,2,0,0,0,0,16,0,1,3,4
가봉 (GAB),10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
가이아나 (GUY),17,0,0,1,1,0,0,0,0,0,17,0,0,1,1
과테말라 (GUA),14,0,1,0,1,1,0,0,0,0,15,0,1,0,1
그레나다 (GRN),9,1,1,0,2,0,0,0,0,0,9,1,1,0,2
그리스 (GRE),28,33,43,40,116,19,0,0,0,0,47,33,43,40,116
나미비아 (NAM),7,0,4,0,4,0,0,0,0,0,7,0,4,0,4
나이지리아 (NGR),16,3,10,12,25,1,0,0,0,0,17,3,10,12,25
남아프리카 공화국 (RSA),19,26,31,29,86,7,0,0,0,0,26,26,31,29,86
네덜란드 (NED),26,85,92,108,285,21,45,44,41,130,47,130,136,149,415
네덜란드령 안틸레스 (AHO),13,0,1,0,1,2,0,0,0,0,15,0,1,0,1
노르웨이 (NOR),25,56,49,47,152,23,132,125,111,368,48,188,174,158,520
뉴질랜드 (NZL) ,23,46,27,44,117,16,0,1,2,3,39,46,28,46,120
니제르 (NIG),12,0,1,1,2,0,0,0,0,0,12,0,1,1,2
대한민국 (KOR),17,90,87,90,267,18,31,25,14,70,35,121,112,104,337
덴마크 (DEN),27,45,74,75,194,14,0,1,0,1,41,45,75,75,195
도미니카 공화국 (DOM),14,3,2,2,7,0,0,0,0,0,14,3,2,2,7
독립 (IOA),3,1,0,1,2,0,0,0,0,0,3,1,0,1,2
독립 참가 (IOP),1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
독일 (GER),16,191,194,230,615,12,92,88,60,240,28,283,282,290,855
독일 연합 (EUA),3,28,54,36,118,3,8,6,5,19,6,36,60,41,137
동독 (GDR),5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
라트비아 (LAT),11,3,11,5,19,11,1,3,5,9,22,4,14,10,28
러시아 (RUS),6,148,125,153,426,6,47,38,35,120,12,195,163,188,546
러시아 제국 (RU1),3,1,4,3,8,0,0,0,0,0,3,1,4,3,8
러시아 출신 올림픽 선수 (OAR),0,0,0,0,0,1,2,6,9,17,1,2,6,9,17
레바논 (LIB),17,0,2,2,4,17,0,0,0,0,34,0,2,2,4
루마니아 (ROU),21,89,95,122,306,21,0,0,1,1,42,89,95,123,307
룩셈부르크 (LUX),23,1,1,0,2,9,0,2,0,2,32,1,3,0,4
리투아니아 (LTU),9,6,7,13,26,9,0,0,0,0,18,6,7,13,26
리히텐슈타인 (LIE),17,0,0,0,0,19,2,2,6,10,36,2,2,6,10
말레이시아 (MAS),13,0,7,4,11,1,0,0,0,0,14,0,7,4,11
멕시코 (MEX),23,13,24,32,69,9,0,0,0,0,32,13,24,32,69
모로코 (MAR),14,6,5,12,23,7,0,0,0,0,21,6,5,12,23
모리셔스 (MRI),9,0,0,1,1,0,0,0,0,0,9,0,0,1,1
모잠비크 (MOZ),10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
몬테네그로 (MNE),3,0,1,0,1,3,0,0,0,0,6,0,1,0,1
몰도바 (MDA),6,0,2,3,5,7,0,0,0,0,13,0,2,3,5
몽골 (MGL),13,2,10,14,26,14,0,0,0,0,27,2,10,14,26
미국 (USA),27,1022,795,706,2523,23,105,112,88,305,50,1127,907,794,2828
미국령 버진아일랜드 (ISV),12,0,1,0,1,7,0,0,0,0,19,0,1,0,1
바레인 (BRN),9,2,1,0,3,0,0,0,0,0,9,2,1,0,3
바베이도스 (BAR),12,0,0,1,1,0,0,0,0,0,12,0,0,1,1
바하마 (BAH),16,6,2,6,14,0,0,0,0,0,16,6,2,6,14
버뮤다 (BER),18,0,0,1,1,8,0,0,0,0,26,0,0,1,1
베네수엘라 (VEN),18,2,3,10,15,4,0,0,0,0,22,2,3,10,15
베트남 (VIE),15,1,3,0,4,0,0,0,0,0,15,1,3,0,4
벨기에 (BEL),26,40,53,55,148,21,1,2,3,6,47,41,55,58,154
벨라루스 (BLR),6,12,27,39,78,7,8,5,5,18,13,20,32,44,96
보츠와나 (BOT),10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
보헤미아 (BOH),3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
부룬디 (BDI),6,1,1,0,2,0,0,0,0,0,6,1,1,0,2
북마케도니아 (MKD),6,0,0,1,1,6,0,0,0,0,12,0,0,1,1
불가리아 (BUL),20,51,87,80,218,20,1,2,3,6,40,52,89,83,224
브라질 (BRA),22,30,36,63,129,8,0,0,0,0,30,30,36,63,129
사모아 (SAM),9,0,1,0,1,0,0,0,0,0,9,0,1,0,1
사우디아라비아 (KSA),11,0,1,2,3,0,0,0,0,0,11,0,1,2,3
서독 (FRG),5,56,67,81,204,6,11,15,13,39,11,67,82,94,243
서인도 연방 (BWI),1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
세네갈 (SEN),14,0,1,0,1,5,0,0,0,0,19,0,1,0,1
세르비아 (SRB),4,3,6,6,15,3,0,0,0,0,7,3,6,6,15
세르비아 몬테네그로 (SCG),1,0,2,0,2,1,0,0,0,0,2,0,2,0,2
소련 (URS),9,395,319,296,"1,010",9,78,57,59,194,18,473,376,355,1204
수단 (SUD),12,0,1,0,1,0,0,0,0,0,12,0,1,0,1
수리남 (SUR),12,1,0,1,2,0,0,0,0,0,12,1,0,1,2
스리랑카 (SRI),17,0,2,0,2,0,0,0,0,0,17,0,2,0,2
스웨덴 (SWE),27,145,170,179,494,23,57,46,55,158,50,202,216,234,652
스위스 (SUI),28,50,75,67,192,23,56,45,52,153,51,106,120,119,345
스페인 (ESP),23,45,64,41,150,20,1,0,3,4,43,46,64,44,154
슬로바키아 (SVK),6,9,12,7,28,7,3,4,1,8,13,12,16,8,36
슬로베니아 (SLO),7,5,8,10,23,8,2,5,10,17,15,7,13,20,40
시리아 (SYR),13,1,1,1,3,0,0,0,0,0,13,1,1,1,3
싱가포르 (SIN),16,1,2,2,5,1,0,0,0,0,17,1,2,2,5
아랍에미리트 (UAE),9,1,0,1,2,0,0,0,0,0,9,1,0,1,2
아르메니아 (ARM),6,2,6,6,14,7,0,0,0,0,13,2,6,6,14
아르헨티나 (ARG),24,21,25,28,74,19,0,0,0,0,43,21,25,28,74
아이슬란드 (ISL),20,0,2,2,4,18,0,0,0,0,38,0,2,2,4
아이티 (HAI),15,0,1,1,2,0,0,0,0,0,15,0,1,1,2
아일랜드 (IRL),21,9,10,12,31,7,0,0,0,0,28,9,10,12,31
아제르바이잔 (AZE),6,7,11,24,42,6,0,0,0,0,12,7,11,24,42
아프가니스탄 (AFG),14,0,0,2,2,0,0,0,0,0,14,0,0,2,2
알제리 (ALG),13,5,4,8,17,3,0,0,0,0,16,5,4,8,17
에리트레아 (ERI),5,0,0,1,1,1,0,0,0,0,6,0,0,1,1
에스토니아 (EST),12,9,9,16,34,10,4,2,1,7,22,13,11,17,41
에콰도르 (ECU),14,1,1,0,2,1,0,0,0,0,15,1,1,0,2
에티오피아 (ETH),13,22,11,21,54,2,0,0,0,0,15,22,11,21,54
연합 (EUN),1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
영국 (GBR),28,263,295,293,851,23,11,4,17,32,51,274,299,310,883
오스트랄라시아 (ANZ),2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
오스트레일리아 (AUS),26,147,163,187,497,19,5,5,5,15,45,152,168,192,512
오스트리아 (AUT),27,18,33,36,87,23,64,81,87,232,50,82,114,123,319
요르단 (JOR),10,1,0,0,1,0,0,0,0,0,10,1,0,0,1
우간다 (UGA),15,2,3,2,7,0,0,0,0,0,15,2,3,2,7
우루과이 (URU),21,2,2,6,10,1,0,0,0,0,22,2,2,6,11
우즈베키스탄 (UZB),6,8,6,17,31,7,1,0,0,1,13,9,6,17,32
우크라이나 (UKR),6,35,30,56,121,7,3,1,4,8,13,38,31,60,129
유고슬라비아 (YUG),18,28,31,31,90,16,0,3,1,4,34,28,34,32,94
이라크 (IRQ),14,0,0,1,1,0,0,0,0,0,14,0,0,1,1
이란 (IRI),16,19,22,28,69,11,0,0,0,0,27,19,22,28,69
이스라엘 (ISR),16,1,1,7,9,7,0,0,0,0,23,1,1,7,9
이집트 (EGY),22,7,10,15,32,1,0,0,0,0,23,7,10,15,32
이탈리아 (ITA),27,206,178,193,577,23,40,36,48,124,50,246,214,241,701
인도 (IND),24,9,7,12,28,10,0,0,0,0,34,9,7,12,28
인도네시아 (INA),15,7,13,12,32,0,0,0,0,0,15,7,13,12,32
일본 (JPN),22,142,136,161,439,21,14,22,22,58,43,156,158,183,497
자메이카 (JAM),17,22,35,21,78,8,0,0,0,0,25,22,35,21,78
잠비아 (ZAM),13,0,1,1,2,0,0,0,0,0,13,0,1,1,2
조선민주주의인민공화국 (PRK),10,16,16,22,54,9,0,1,1,2,19,16,17,23,56
조지아 (GEO),6,8,7,17,32,7,0,0,0,0,13,8,7,17,32
중화 타이베이 (TPE),14,5,7,12,24,12,0,0,0,0,26,5,7,12,24
중화인민공화국 (CHN),10,224,167,155,546,11,13,28,21,62,21,237,195,176,608
지부티 (DJI),8,0,0,1,1,0,0,0,0,0,8,0,0,1,1
짐바브웨 (ZIM),13,3,4,1,8,1,0,0,0,0,14,3,4,1,8
체코 (CZE),6,15,17,24,56,7,9,11,11,31,13,24,28,35,87
체코슬로바키아 (TCH),16,49,49,45,143,16,2,8,15,25,32,51,57,60,168
칠레 (CHI),23,2,7,4,13,17,0,0,0,0,40,2,7,4,13
카메룬 (CMR),14,3,1,2,6,1,0,0,0,0,15,3,1,2,6
카자흐스탄 (KAZ),6,15,21,28,64,7,1,3,4,8,13,16,24,32,72
카타르 (QAT),9,0,1,4,5,0,0,0,0,0,9,0,1,4,5
캐나다 (CAN),26,64,102,136,302,23,73,64,62,199,49,137,166,198,501
케냐 (KEN),14,31,38,34,103,4,0,0,0,0,18,31,38,34,103
코소보 (KOS),1,1,0,0,1,1,0,0,0,0,2,1,0,0,1
코스타리카 (CRC),15,1,1,2,4,6,0,0,0,0,21,1,1,2,4
코트디부아르 (CIV),13,1,1,1,3,0,0,0,0,0,13,1,1,1,3
콜롬비아 (COL),19,5,9,14,28,2,0,0,0,0,21,5,9,14,28
쿠바 (CUB),20,78,68,80,226,0,0,0,0,0,20,78,68,80,226
쿠웨이트 (KUW),12,0,0,2,2,0,0,0,0,0,12,0,0,2,2
크로아티아 (CRO),7,11,10,12,33,8,4,6,1,11,15,15,16,13,44
키르기스스탄 (KGZ),6,0,1,3,4,7,0,0,0,0,13,0,1,3,4
키프로스 (CYP),10,0,1,0,1,11,0,0,0,0,21,0,1,0,1
타지키스탄 (TJK),6,1,1,2,4,4,0,0,0,0,10,1,1,2,4
탄자니아 (TAN),13,0,2,0,2,0,0,0,0,0,13,0,2,0,2
태국 (THA),16,9,8,16,33,4,0,0,0,0,20,9,8,16,33
토고 (TOG),10,0,0,1,1,2,0,0,0,0,12,0,0,1,1
통가 (TGA),9,0,1,0,1,2,0,0,0,0,11,0,1,0,1
튀니지 (TUN),14,4,2,7,13,0,0,0,0,0,14,4,2,7,13
튀르키예 (TUR),22,39,24,28,91,17,0,0,0,0,39,39,24,28,91
트리니다드 토바고 (TRI),17,3,5,11,19,3,0,0,0,0,20,3,5,11,19
파나마 (PAN),17,1,0,2,3,0,0,0,0,0,17,1,0,2,3
파라과이 (PAR),12,0,1,0,1,1,0,0,0,0,13,0,1,0,1
파키스탄 (PAK),17,3,3,4,10,3,0,0,0,0,20,3,3,4,10
페루 (PER),18,1,3,0,4,2,0,0,0,0,20,1,3,0,4
포르투갈 (POR),24,4,8,12,24,8,0,0,0,0,32,4,8,12,24
폴란드 (POL),21,68,83,133,284,23,7,7,8,22,44,75,90,141,306
푸에르토리코 (PUR),18,1,2,6,9,7,0,0,0,0,25,1,2,6,9
프랑스 (FRA),28,212,241,263,716,23,36,35,53,124,51,248,276,316,840
피지 (FIJ),14,1,0,0,1,3,0,0,0,0,17,1,0,0,1
핀란드 (FIN),25,101,85,117,303,23,43,63,61,167,48,144,148,178,470
필리핀 (PHI),21,0,3,7,10,5,0,0,0,0,26,0,3,7,10
헝가리 (HUN),26,175,147,169,491,23,1,2,4,7,49,176,149,173,498
혼성 (ZZX),3,8,5,4,17,0,0,0,0,0,3,8,5,4,17
홍콩 (HKG),16,1,1,1,3,5,0,0,0,0,21,1,1,1,3
총합,28,5116,5082,5490,15688,23,1062,1058,1050,3170,51,6178,6140,6540,18858
